Timestamp,gender,age,siblings,studentType,university/campus,future_ambition,maths,English,Science,Languages_Sinhala_Tamil,ICT_isStudied,aL_Stream,Combined_mathematics,Physics,Chemistry,information_technology,Biology,Agricultural_science,Languages,Engineering_Technology,Bio_System_Technology,Educational_Medium,sport_ university?,sport_school,likeToCode,Currently_staying_at,attendance_for_lectures,health,range_of_online_courses,Overall,degree_programme
31/01/2020 19:48:30,Male,Between 18 to 25,One,Full time student,IIT,Website Designer,A,A,C,B,Yes,Commerce,,,,C,,,,,,Engllish,Rugby,Rowing ,Yes,Home,5,Excellent,You tube channels,5,Software Enginnering
31/01/2020 19:49:21,Male,Between 18 to 25,One,Full time student,IIT,Website Designer,B,B,B,A,No,Biological Science,,S,S,,C,,,,,Sinhala,None,None,Yes,Hostel,5,Very good,Not done,5,Software Enginnering
31/01/2020 19:59:56,Male,Between 18 to 25,One,Full time student,IIT,Software Engineer,A,A,A,A,Yes,Mathematics/ Physical Science,S,C,S,,,,,,,Sinhala,Football,Football,Yes,Home,5,Fair,You tube channels,3,Software Enginnering
31/01/2020 21:02:55,Female,Under 18,One,Full time student,IIT,Website Designer,A,A,A,A,Yes,Biological Science,S,B,A,,A,,,,,Engllish,None,Cultural dancing,Yes,Home,5,Very good,You tube channels,4,Software Enginnering
31/01/2020 21:05:50,Female,Between 18 to 25,One,Full time student,IIT,UI/UX Engineer,C,A,B,A,No,Biological Science,,,,,,,,,,Sinhala,,"Swimming, Badminton",Yes,,5,Very good,"Udemy, You tube channels",4,Software Enginnering
31/01/2020 22:44:43,Male,Between 18 to 25,Two,Full time student,IIT,"Architect, Mobile Security Engineer",A,C,A,A,No,Mathematics/ Physical Science,S,S,S,,,,,,,Sinhala,Cricket,Cricket,Yes,Bording house,5,Very good,"hacker rank, Cybrary.it",5,Software Enginnering
31/01/2020 22:47:59,Male,Between 18 to 25,None,Full time student,NIBM,An actor,B,A,B,B,Yes,Mathematics/ Physical Science,,,,,,,,,,Engllish,None,Badminton,Yes,Home,3,Fair,You tube channels,4,Business Management
31/01/2020 22:59:06,Male,Between 18 to 25,One,Full time student,IIT,Software Engineer,A,A,A,A,Yes,Mathematics/ Physical Science,B,C,C,,,,,,,Sinhala,None,None,Yes,Home,3,Excellent,"Udemy, You tube channels, hacker rank",4,Software Enginnering
31/01/2020 23:23:58,Female,Between 18 to 25,One,Full time student,IIT,UI/UX Engineer,A,A,A,A,Yes,Biological Science,,C,B,,A,,,,,Sinhala,Netball,Netball,Yes,Home,3,Very good,You tube channels,3,Software Enginnering
31/01/2020 23:47:23,Male,Between 18 to 25,One,Full time student,IIT,Software Engineer,A,A,B,A,Yes,Mathematics/ Physical Science,S,C,,B,,,,,,Engllish,None,"Swimming, Cricket",No,Home,5,Very good,You tube channels,3,Software Enginnering
